EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,Rain Fall (In),DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,Latitude,Longitude,Wind Speed,Min Pressure,CAT,COUNTY RISK
5579731,CARTERET (ZONE),6/18/1996,1300,Tropical Storm,-999,0,0,0,0,NC,EST,2054498,Z,95,MHX,0,0,29.7,-78.8,25,1008,-1,0
5580879,CARTERET (ZONE),6/18/1996,1300,Tropical Storm,-999,0,0,0,0,NC,EST,2054487,Z,95,MHX,0,0,29.7,-78.8,25,1008,-1,0
5581069,CARTERET (ZONE),10/8/1996,100,Tropical Storm,-999,0,0,0,0,NC,EST,2054560,Z,95,MHX,0,0,29.3,-84.5,60,983,0,0
5717393,CARTERET (ZONE),9/1/1999,0,Tropical Storm,9.89,0,0,6300000,3700000,NC,EST,2413568,Z,95,MHX,0,0,35.2,-73.6,60,986,0,3
5316691,CARTERET (ZONE),9/10/2002,500,Tropical Storm,-999,0,0,2000,0,NC,EST,1143281,Z,95,MHX,0,0,33,-75.5,50,990,0,0
5525818,CARTERET (ZONE),8/31/2006,1200,Tropical Storm,-999,0,0,50000,0,NC,EST,1218288,Z,95,MHX,0,0,30.6,-79.9,55,995,0,3
139259,CARTERET (ZONE),9/5/2008,1200,Tropical Storm,-999,0,0,0,0,NC,EST-5,23869,Z,95,MHX,0,0,28.2,-78.5,55,980,0,0
451088,CARTERET (ZONE),6/6/2013,1800,Tropical Storm,0.6,0,0,0,0,NC,EST-5,74590,Z,95,MHX,0,0,28.9,-83.9,55,993,0,0
577069,CARTERET (ZONE),5/8/2015,600,Tropical Storm,3.16,0,0,0,0,NC,EST-5,95378,Z,95,MHX,0,0,31.5,-77.6,40,1002,0,0
656757,CARTERET (ZONE),9/2/2016,1800,Tropical Storm,8.66,0,0,5000,0,NC,EST-5,109780,Z,95,MHX,0,0,32.4,-81.2,50,990,0,0
663393,CARTERET (ZONE),10/8/2016,900,Tropical Storm,-999,0,0,0,0,NC,EST-5,110427,Z,95,MHX,0,0,34.89,-75.28,67,983,0,0
789569,CARTERET (ZONE),10/11/2018,1158,Tropical Storm,-999,0,0,0,0,NC,EST-5,131976,Z,95,MHX,0,0,34.1,-81.7,45,987,0,1
5337314,CASWELL (ZONE),9/18/2003,1330,Tropical Storm,1.95,0,0,150000,0,NC,EST,1162666,Z,6,RNK,0,0,33.7,-75.2,90,956,1,1
344886,CASWELL (ZONE),8/27/2011,900,Tropical Storm,-999,0,0,2700,0,NC,EST-5,57501,Z,6,RNK,0,0,34.09,-76.7,75,952,0,0
791110,CATAWBA (ZONE),10/11/2018,1100,Tropical Storm,-999,0,0,5000,0,NC,EST-5,132213,Z,56,GSP,0,0,34.1,-81.7,45,987,0,0
5568577,CHATHAM (ZONE),7/12/1996,800,Hurricane (Typhoon),0.28,0,0,0,0,NC,EST,2045671,Z,40,RAH,0,0,31.63,-78.55,77,979,1,0
5580050,CHATHAM (ZONE),9/5/1996,1700,Hurricane (Typhoon),6,0,0,0,0,NC,EST,2053170,Z,40,RAH,0,0,32.3,-77.8,100,952,2,0
